순위,영화명,영화장르,개봉일,관객수,스크린수
189,시라노; 연애조작단,멜로/로맨스,2010-09-16,"2,684,798",415
190,지.아이.조 : 전쟁의 서막,액션,2009-08-06,"2,665,886",446
191,브레이킹 던 part2,드라마,2012-11-15,"2,654,817",665
192,우주전쟁,SF,2005-07-07,"2,643,057",401
193,타이탄,판타지,2010-04-01,"2,642,483",694
194,마파도,코미디,2005-03-10,"2,636,857",178
195,후궁 : 제왕의 첩,멜로/로맨스,2012-06-06,"2,636,353",624
196,탐정 : 더 비기닝,코미디,2015-09-24,"2,625,686",764
197,미니언즈,애니메이션,2015-07-29,"2,625,599",792
198,하울의 움직이는 성,애니메이션,2004-12-23,"2,614,043",331
199,가문의 부활 - 가문의 영광3,코미디,2006-09-21,"2,598,859",444
200,위험한 상견례,코미디,2011-03-31,"2,595,625",524
